order_id,order_date,business_unit,category,supplier,quantity,unit_price,status,lead_time_days
PO-2025049,13 May 2026,Steel, Raw Material,Delta Supply Co  ,387,"3,372.60",Delivered,24
PO-2025582,,Cement, Office Supplies,Delta Supply Co.,347,307.16,Pending,30
PO-2025082,16/06/2026,Textiles, Raw Material,Delta Supply Co.,77,"৳3,682",Cancelled,14
PO-2025305,03/07/2025,Real Estate,Logistics,Meghna Traders Ltd.,352,"BDT 1,061.58",Partially Delivered,32
PO-2025109,06 Nov 2025,Cement, Packaging,Karnaphuli Logistics.,448,"4,407.88",Delivered,7
PO-2025010,,Cement,PACKAGING,Meghna Traders Ltd,427,"1,503.29",Pending,14
PO-2025268,23/04/2026,Steel, Office Supplies,Padma Industrial ,345,751.11,Partially Delivered,23
PO-2025353,03-23-2026,Real Estate,OFFICE SUPPLIES,Padma Industrial  ,380,"2,895.60",Delivered,2
PO-2025328,08 Mar 2026,Real Estate, Logistics,Karnaphuli Logistics,312,"৳2,711",Cancelled,25
PO-2025533,08-23-2025,Cement,MACHINERY PARTS,Karnaphuli Logistics,110,"BDT 2,360.43",Cancelled,38
PO-2025281,12/03/2026,Jute,Office Supplies,Surma Materials Ltd.,453,"BDT 3,052.33",Partially Delivered,42
PO-2025487,2025-02-03,Steel,Logistics,Surma Materials Ltd,57,BDT 923.48,Pending,37
PO-2025234,12/12/2025,Steel,  logistics ,Karnaphuli Logistics  ,155,"৳4,446",Cancelled,10
PO-2025131,12 Apr 2025,Real Estate,MACHINERY PARTS,Padma Industrial ,420,4100.62,Delivered,44
PO-2025002,01 Sep 2025,Textiles,  office supplies ,Karnaphuli Logistics.,114,"BDT 2,795.19",Pending,4
PO-2025227,05 Jan 2025,Textiles,  machinery parts ,Karnaphuli Logistics ,361,"BDT 4,593.41",Pending,11
PO-2025576,07/04/2025,Textiles,LOGISTICS,Jamuna Enterprise ,172,"BDT 4,702.91",Delivered,14
PO-2025426,,Real Estate,Packaging,Padma Industrial,363,,Cancelled,22
PO-2025184,18 Dec 2025,Real Estate,  logistics ,Delta Supply Co  ,,"3,189.46",Delivered,39
PO-2025398,2025-12-20,Steel,  logistics ,Delta Supply Co  ,340,"BDT 3,594.85",Delivered,32
PO-2025374,10-16-2025,Cement,  office supplies ,Meghna Traders Ltd,340,"BDT 3,863.46",Delivered,13
PO-2025078,04 Aug 2025,Cement,Machinery Parts,Surma Materials Ltd,499,,Cancelled,41
PO-2025247,16/06/2025,Cement,Office Supplies,Surma Materials Ltd.,206,"BDT 3,810.23",Cancelled,17
PO-2025055,,Jute,Packaging,Karnaphuli Logistics  ,-325,497.68,Cancelled,36
PO-2025220,06/06/2025,Real Estate,  office supplies ,Delta Supply Co  ,96,"4,542.64",Pending,36
PO-2025523,2025-09-14,Real Estate,PACKAGING,Jamuna Enterprise ,406,"৳1,963",Pending,39
PO-2025248,,Jute, Packaging,Jamuna Enterprise,403,1470.12,Pending,11
PO-2025382,2025-04-18,Jute, Logistics,Karnaphuli Logistics ,374,"2,316.59",Cancelled,37
PO-2025499,,Jute,Raw Material,Meghna Traders Ltd,224,"৳2,917",Delivered,26
PO-2025552,03-08-2026,Cement,  office supplies ,Surma Materials Ltd.,258,"3,669.14",Partially Delivered,
PO-2025039,2025-02-27,Real Estate,  office supplies ,Meghna Traders Ltd  ,26,"4,627.97",Delivered,26
PO-2025145,05-21-2026,Steel,  packaging ,Karnaphuli Logistics ,489,"BDT 3,737.71",Cancelled,28
PO-2025377,06-05-2025,Jute, Office Supplies,Surma Materials Ltd ,337,BDT 317.57,Delivered,31
PO-2025077,,Steel,  office supplies ,Surma Materials Ltd,454,"৳2,956",Pending,2
PO-2025118,,Jute,Logistics,Jamuna Enterprise ,252,1023.87,Cancelled,22
PO-2025400,,Steel, Machinery Parts,Padma Industrial ,70,"BDT 2,767.32",Delivered,15
PO-2025148,,Real Estate, Raw Material,Surma Materials Ltd  ,58,"BDT 4,993.12",Delivered,18
PO-2025331,,Cement,MACHINERY PARTS,Padma Industrial.,188,1898.25,Partially Delivered,10
PO-2025132,29 Oct 2025,Cement,MACHINERY PARTS,Jamuna Enterprise ,26,"BDT 1,744.90",Delivered,11
